SYMBOL,LAST PRICE,CHANGE RATE,CHANGE,RATING,VOLUME,MARKET CAP,PE RATIO,EPS,EMPLOYEES,SECTOR
ENDP,3.48,47.67%,1.12,Buy,25.284M,788.977M,—,-2.30,2910.00,Healthcare
MBOT,7.06,44.08%,2.16,Strong Buy,875.344K,30.412M,—,-2.14,8.00,Healthcare
PIR,6.16,25.71%,1.26,Buy,1.159M,26.228M,—,-62.16,4000.00,Consumer Cyclicals
AMBO,2.45,22.50%,0.45,Sell,833,53.279M,12.34,0.20,1694.00,Consumer Non-Cyclicals
DOCU,56.27,21.66%,10.02,Strong Buy,25.958M,9.780B,—,-1.37,3023.00,Technology
HOV,12.69,20.63%,2.17,Buy,932.072K,75.475M,34.80,0.99,1851.00,Consumer Cyclicals
MMDMU,11.44,20.42%,1.94,Buy,279,237.084M,184.08,0.05,—,Financials
MNI,2.57,20.09%,0.43,Buy,5.664K,20.373M,—,-10.17,3300.00,Consumer Cyclicals
BYSI,21.65,19.15%,3.48,Buy,60.215K,562.125M,—,-2.12,52.00,Healthcare
AUTL,14.09,18.11%,2.16,Buy,1.493M,633.794M,—,—,166.00,Healthcare
AGTC,3.76,17.50%,0.56,Buy,331.157K,68.324M,38.39,0.10,78.00,Healthcare
CARB,15.08,16.63%,2.15,Buy,3.562M,523.121M,—,-0.23,959.00,Technology
ORGO,5.40,16.38%,0.76,Buy,670.053K,493.254M,—,-1.24,700.00,Healthcare
LCI,13.16,15.24%,1.74,Buy,7.711M,531.739M,—,-7.24,1251.00,Healthcare
GWRE,109.41,14.67%,14.00,Buy,4.968M,8.951B,110.03,0.99,2292.00,Technology
NTGN,3.33,14.43%,0.42,Buy,20.357M,94.509M,—,-3.02,102.00,Healthcare
NBSE,5.88,14.17%,0.73,Strong Buy,231.160K,100.374M,—,-3.37,3.00,Healthcare
FRAN,4.86,14.08%,0.60,Buy,203.052K,14.338M,—,-16.28,5955.00,Consumer Cyclicals
OVID,2.17,13.61%,0.26,Buy,266.269K,83.964M,—,-1.84,47.00,Healthcare
ITRM,6.96,13.54%,0.83,Buy,5.816K,100.394M,—,-6.72,48.00,Healthcare
ALPN,4.90,13.43%,0.58,Buy,33.553K,91.079M,—,-3.02,48.00,Healthcare
ECOR,2.89,13.33%,0.34,Buy,318.456K,85.525M,—,-1.86,91.00,Healthcare
ORTX,16.72,12.44%,1.85,Buy,616.782K,1.290B,—,-1.50,180.00,Healthcare
PFNX,8.63,12.08%,0.93,Buy,372.063K,272.687M,—,-0.91,78.00,Healthcare
BEST,5.49,11.59%,0.57,Strong Buy,2.085M,2.155B,—,-0.18,8325.00,Industrials
ZUMZ,30.71,11.27%,3.11,Strong Buy,3.399M,791.397M,17.41,1.78,2500.00,Consumer Cyclicals
MGI,5.22,11.06%,0.52,Buy,3.170M,323.901M,—,-1.17,2436.00,Industrials
HOME,7.24,11.04%,0.72,Buy,5.725M,463.925M,7.40,1.01,5364.00,Consumer Cyclicals
GALT,3.77,10.88%,0.37,Buy,291.392K,213.500M,—,-0.42,6.00,Healthcare
STRO,9.50,10.08%,0.87,Buy,154.805K,217.815M,—,-1.74,168.00,Healthcare
BHAT,2.95,10.07%,0.27,Sell,233.509K,103.250M,0.74,3.96,—,Consumer Cyclicals
